REQUEST_ID,current.apparentTemperature,current.cloudCover,current.dewPoint,current.humidity,current.icon,current.precipIntensity,current.precipProbability,current.precipType,current.pressure,current.summary,current.temperature,current.time,current.uvIndex,current.visibility,current.windBearing,current.windGust,current.windSpeed,daily.apparentTemperatureHigh,daily.apparentTemperatureHighTime,daily.apparentTemperatureLow,daily.apparentTemperatureLowTime,daily.apparentTemperatureMax,daily.apparentTemperatureMaxTime,daily.apparentTemperatureMin,daily.apparentTemperatureMinTime,daily.cloudCover,daily.dewPoint,daily.humidity,daily.icon,daily.moonPhase,daily.precipAccumulation,daily.precipIntensity,daily.precipIntensityMax,daily.precipIntensityMaxTime,daily.precipProbability,daily.precipType,daily.pressure,daily.summary,daily.sunriseTime,daily.sunsetTime,daily.temperatureHigh,daily.temperatureHighTime,daily.temperatureLow,daily.temperatureLowTime,daily.temperatureMax,daily.temperatureMaxTime,daily.temperatureMin,daily.temperatureMinTime,daily.time,daily.uvIndex,daily.uvIndexTime,daily.visibility,daily.windBearing,daily.windGust,daily.windGustTime,daily.windSpeed,0,1
205290,9.1,0.74,2.92,0.75,partly-cloudy-night,0.0,0.0,,1031.49,Mostly Cloudy,9.1,1514765820.0,0.0,10.0,287.0,0.35,0.12,15.62,1514750400.0,0.08,1514804400.0,15.62,1514750400.0,1.99,1514721600.0,0.54,1.91,0.75,partly-cloudy-day,0.45,0.072,0.0002,0.0018,1514750400.0,0.11,snow,1030.27,Mostly cloudy until evening.,1514724273.0,1514757868.0,15.62,1514750400.0,0.08,1514804400.0,15.62,1514750400.0,1.99,1514721600.0,1514696400.0,1.0,1514732400.0,9.09,264.0,5.32,1514696400.0,0.57,,
205289,10.16,0.71,3.24,0.73,partly-cloudy-night,0.0,0.0,,1031.25,Mostly Cloudy,10.16,1514761260.0,0.0,10.0,256.0,0.26,0.19,15.11,1514750400.0,-0.4,1514804400.0,15.11,1514750400.0,1.57,1514721600.0,0.53,1.77,0.76,partly-cloudy-day,0.45,0.073,0.0002,0.0019,1514750400.0,0.1,snow,1030.25,Mostly cloudy until evening.,1514724251.0,1514757843.0,15.11,1514750400.0,-0.4,1514804400.0,15.11,1514750400.0,1.57,1514721600.0,1514696400.0,1.0,1514732400.0,9.06,265.0,5.27,1514696400.0,0.51,,
205288,10.71,0.72,3.52,0.72,partly-cloudy-night,0.0,0.0,,1031.2,Mostly Cloudy,10.71,1514760900.0,0.0,10.0,258.0,0.33,0.2,15.09,1514750400.0,-0.06,1514804400.0,15.09,1514750400.0,1.76,1514721600.0,0.59,1.82,0.76,partly-cloudy-day,0.45,0.092,0.0002,0.0023,1514750400.0,0.11,snow,1030.26,Mostly cloudy until evening.,1514724232.0,1514757858.0,15.09,1514750400.0,-0.06,1514804400.0,15.09,1514750400.0,1.76,1514721600.0,1514696400.0,1.0,1514732400.0,9.06,257.0,5.38,1514696400.0,0.63,,
205287,14.8,0.73,6.85,0.7,partly-cloudy-day,0.0011,0.05,snow,1030.39,Mostly Cloudy,14.8,1514748180.0,1.0,8.8,247.0,2.87,0.67,14.99,1514750400.0,-0.33,1514804400.0,14.99,1514750400.0,1.5,1514721600.0,0.55,1.89,0.77,partly-cloudy-day,0.45,0.083,0.0002,0.002,1514750400.0,0.11,snow,1030.27,Mostly cloudy until evening.,1514724260.0,1514757872.0,14.99,1514750400.0,-0.33,1514804400.0,14.99,1514750400.0,1.5,1514721600.0,1514696400.0,1.0,1514732400.0,9.09,262.0,5.35,1514696400.0,0.55,,
205286,14.71,1.0,6.91,0.71,cloudy,0.0006,0.03,snow,1030.35,Overcast,14.71,1514746560.0,1.0,7.43,247.0,2.62,0.56,15.11,1514750400.0,-0.39,1514804400.0,15.11,1514750400.0,1.57,1514721600.0,0.53,1.77,0.76,partly-cloudy-day,0.45,0.073,0.0002,0.0019,1514750400.0,0.1,snow,1030.25,Mostly cloudy until evening.,1514724251.0,1514757843.0,15.11,1514750400.0,-0.39,1514804400.0,15.11,1514750400.0,1.57,1514721600.0,1514696400.0,1.0,1514732400.0,9.06,265.0,5.27,1514696400.0,0.52,,
205285,14.25,1.0,6.91,0.72,cloudy,0.0004,0.04,snow,1030.67,Overcast,14.25,1514744760.0,1.0,4.6,240.0,2.45,0.61,15.9,1514750400.0,0.53,1514804400.0,15.9,1514750400.0,2.43,1514721600.0,0.55,1.88,0.74,partly-cloudy-day,0.45,0.08,0.0002,0.002,1514750400.0,0.11,snow,1030.26,Mostly cloudy until evening.,1514724258.0,1514757864.0,15.9,1514750400.0,0.53,1514804400.0,15.9,1514750400.0,2.43,1514721600.0,1514696400.0,1.0,1514732400.0,9.08,263.0,5.32,1514696400.0,0.55,,
205284,10.84,1.0,5.5,0.79,fog,0.0002,0.02,snow,1031.3,Foggy,10.84,1514741340.0,1.0,1.53,247.0,2.27,0.6,14.88,1514750400.0,-0.37,1514804400.0,14.88,1514750400.0,1.51,1514721600.0,0.58,1.82,0.77,partly-cloudy-day,0.45,0.084,0.0002,0.0022,1514750400.0,0.11,snow,1030.25,Mostly cloudy until evening.,1514724240.0,1514757852.0,14.88,1514750400.0,-0.37,1514804400.0,14.88,1514750400.0,1.51,1514721600.0,1514696400.0,1.0,1514732400.0,9.05,259.0,5.33,1514696400.0,0.62,,
205283,11.07,1.0,5.03,0.76,fog,0.0001,0.01,snow,1031.44,Foggy,11.07,1514740680.0,1.0,1.37,248.0,2.25,0.54,15.54,1514750400.0,0.32,1514804400.0,15.54,1514750400.0,2.19,1514721600.0,0.58,1.78,0.74,partly-cloudy-day,0.45,0.086,0.0002,0.0022,1514750400.0,0.11,snow,1030.25,Mostly cloudy until evening.,1514724233.0,1514757847.0,15.54,1514750400.0,0.32,1514804400.0,15.54,1514750400.0,2.19,1514721600.0,1514696400.0,1.0,1514732400.0,9.05,258.0,5.34,1514696400.0,0.61,,
205282,8.76,1.0,3.83,0.8,cloudy,0.0,0.0,,1031.92,Overcast,8.76,1514737620.0,1.0,5.57,237.0,2.23,0.82,14.73,1514750400.0,-0.52,1514804400.0,14.73,1514750400.0,1.33,1514721600.0,0.56,1.92,0.78,partly-cloudy-day,0.45,0.088,0.0002,0.0021,1514750400.0,0.11,snow,1030.27,Mostly cloudy until evening.,1514724257.0,1514757878.0,14.73,1514750400.0,-0.52,1514804400.0,14.73,1514750400.0,1.33,1514721600.0,1514696400.0,1.0,1514732400.0,9.1,261.0,5.36,1514696400.0,0.56,,
205281,8.91,1.0,3.61,0.78,cloudy,0.0,0.0,,1031.98,Overcast,8.91,1514737140.0,1.0,6.67,236.0,2.31,0.93,15.05,1514750400.0,-0.19,1514804400.0,15.05,1514750400.0,1.65,1514721600.0,0.56,1.89,0.77,partly-cloudy-day,0.45,0.089,0.0002,0.0022,1514750400.0,0.11,snow,1030.27,Mostly cloudy until evening.,1514724252.0,1514757874.0,15.05,1514750400.0,-0.19,1514804400.0,15.05,1514750400.0,1.65,1514721600.0,1514696400.0,1.0,1514732400.0,9.1,261.0,5.37,1514696400.0,0.55,,
