REQUEST_ID,CREATED_ON,REQUEST_TYPE,REQUEST_ORIGIN,STATUS,DEPARTMENT,NEIGHBORHOOD,COUNCIL_DISTRICT,WARD,TRACT,PUBLIC_WORKS_DIVISION,PLI_DIVISION,POLICE_ZONE,FIRE_ZONE,X,Y,GEO_ACCURACY
298016,2018-10-29T15:15:00,"Catch Basin, Clogged",Call Center,0,Pittsburgh Water and Sewer Authority,Central Oakland,3,4,42003040600,3,4,4,11-Feb,-79.9553037,40.436586,EXACT
298015,2018-10-29T15:13:00,Sinkhole,Call Center,0,DPW - Street Maintenance,Central Business District,6,2,42003020100,6,2,2,3-Jan,-79.9980286,40.4435943,EXACT
298014,2018-10-29T15:12:00,Abandoned Vehicle (parked on street),Call Center,0,Police - AVU,Westwood,2,28,42003563100,5,28,6,18-Jan,-80.05327461,40.43214581,APPROXIMATE
298013,2018-10-29T15:10:00,Rodent control,Call Center,0,Animal Care & Control,Beechview,4,19,42003192000,5,19,6,28-Apr,-80.02980554,40.40105295,APPROXIMATE
298012,2018-10-29T15:09:00,Building Without a Permit,Website,0,"Permits, Licenses and Inspections",Perry North,1,26,42003260200,1,26,1,15-Jan,-80.02461106,40.49144409,APPROXIMATE
298011,2018-10-29T15:09:00,Dumpster (on Street),Call Center,0,DOMI - Permits,Garfield,9,10,42003101700,2,10,5,4-Mar,-79.9375187,40.4653732,EXACT
298010,2018-10-29T15:07:00,Mayor's Office,Call Center,1,311,,,,,,,,,,,OUT_OF_BOUNDS
298009,2018-10-29T15:03:00,Weeds/Debris,Call Center,3,"Permits, Licenses and Inspections",South Side Slopes,3,17,42003170600,3,17,3,2-Apr,-79.99087563,40.42647583,EXACT
298008,2018-10-29T15:00:00,Abandoned Vehicle (parked on street),Call Center,0,Police - AVU,Garfield,9,10,42003101700,2,10,5,4-Mar,-79.93806151,40.46651489,APPROXIMATE
298006,2018-10-29T14:46:00,Hydrant,Website,0,Pittsburgh Water and Sewer Authority,Overbrook,4,32,42003320400,5,32,3,23-Apr,-79.9954572,40.3910619,EXACT
298007,2018-10-29T14:46:00,Mayor's Office,Call Center,0,311,,,,,,,,,,,OUT_OF_BOUNDS
